timeStamp/s,accZ/s,Tremor/s,accY/s,DeviceID/s,Activity/s,accX/s
1574861892164,2.6597595,1,3.2750092,64,1,0.46549988
1574861895703,7.4349976,1,4.907852,64,1,-2.5188751
1574852667853,8.822433,0,1.2614899,22,1,1.8637085
1574852671951,9.424576,0,0.941864,22,1,1.9714508
1574852700238,9.428177,0,-0.36058044,22,1,1.7870941
1574852713592,9.555069,0,-0.5892334,22,1,2.079193
1574852727685,9.424576,0,-0.34861755,22,1,2.216858
1574852752855,9.527527,0,-0.64668274,22,1,2.3461456
1574852757610,9.504791,0,-0.275589,22,1,2.1055298
1574852066623,9.769821,0,-0.48161316,18,1,-0.3624115
1574852085394,9.819382,0,-0.6775818,18,1,0.15126038
1574852103586,9.732712,0,-0.43096924,18,1,0.44862366
1574852122356,9.76503,0,-0.3909912,18,1,0.46058655
1574852141447,9.771851,0,-0.47550964,18,1,0.44407654
1574851812622,9.336227,0,2.8220367,16,1,-0.21577454
1574851830814,9.048935,0,2.728775,16,1,0.82270813
1574851849006,9.30571,0,2.6208038,16,1,0.32136536
1574851867197,9.609177,0,2.040802,16,1,0.17268372
1574851885988,9.608688,0,1.6605988,16,1,0.4135437
1574848932863,9.326416,0,1.5045013,2,1,0.5337372
1574848934682,9.833984,0,0.75032043,2,1,0.9670868
1574848936502,9.612518,0,0.81018066,2,1,1.462677
1574848938321,9.765747,0,0.5168915,2,1,1.9247589
1574848940200,9.528732,0,0.7658844,2,1,1.7775269
1574848944378,9.073822,0,0.8125763,2,1,2.019333
1574848977164,8.852371,0,0.6545563,2,1,3.9263153
1574848981262,9.130096,0,0.5959015,2,1,3.803009
1574849011049,8.51358,0,0.73117065,2,1,4.056793
1574849014748,8.793701,0,0.52407837,2,1,4.0292664
1574851227695,11.186707,0,2.5842896,13,1,-0.17973328
1574851229514,9.223465,0,1.4793549,13,1,-0.8321533
1574851231833,9.505981,0,1.396759,13,1,-0.27430725
1574851248263,9.771744,0,0.48936462,13,1,-0.064819336
1574851266558,10.110519,0,0.30619812,13,1,0.2117157
1574851272956,9.890259,0,0.50372314,13,1,0.4571228
1574851314737,9.67836,0,0.41275024,13,1,0.6067505
1574851317253,9.917786,0,0.24395752,13,1,0.4571228
1574860436111,9.557465,1,1.6074524,54,1,-0.0073547363
1574860439808,18.520157,1,-2.421997,54,1,1.6290741
1574860475995,17.776749,1,-3.951889,54,1,0.3960724
1574860479134,1.8337555,1,4.151291,54,1,-1.2523346
1574860513681,16.011032,1,-2.5620575,54,1,1.0724335
1574860516461,17.027359,1,-2.315445,54,1,2.2659302
1574861696710,9.218674,1,1.0855103,63,1,-0.44070435
1574861778183,2.9590302,1,3.8927155,63,1,-0.5544281
1574861785341,14.642746,1,-3.0648346,63,1,-1.6964722
1574861815730,6.321701,1,-0.394104,64,1,-4.313324
1574861836743,-5.881546,1,7.6336517,64,1,-3.0096893
1574861848620,3.7335663,1,1.688858,64,1,-1.2750854
1574861858494,-4.224762,1,7.006378,64,1,0.21650696
1574861892184,3.6318054,1,2.9829254,64,1,-2.2842407
1574861895763,8.782928,1,4.9054565,64,1,-3.9673615
1574852667873,8.92659,0,1.2854309,22,1,1.8673096
1574852672092,9.629288,0,0.9107361,22,1,2.0875702
1574852700578,9.681961,0,-0.45874023,22,1,1.9319458
1574852713612,9.551468,0,-0.64907837,22,1,2.1929169
1574852727745,9.56105,0,-0.36776733,22,1,2.225235
1574852752874,9.495209,0,-0.6981659,22,1,2.470642
1574852757653,9.284515,0,-0.16784668,22,1,2.256363
1574852066823,9.844635,0,-0.51057434,18,1,-0.3983307
1574852085592,9.71727,0,-0.6494446,18,1,0.11857605
1574852103783,9.762878,0,-0.44773865,18,1,0.44921875
1574852122556,9.816879,0,-0.4193573,18,1,0.4453888
1574852141646,9.689026,0,-0.46066284,18,1,0.46502686
1574851812823,9.291214,0,2.8859558,16,1,-0.112350464
1574851831014,9.347244,0,2.740509,16,1,0.8139801
1574851849206,9.303436,0,2.617447,16,1,0.29156494
1574851867397,9.41333,0,2.0260773,16,1,0.18130493
1574851886190,9.457138,0,1.5999146,16,1,0.38110352
1574848932882,9.671188,0,1.18367,2,1,1.2244568
1574848934701,9.649628,0,0.7730713,2,1,0.94792175
1574848936520,9.638855,0,0.8029938,2,1,1.4147949
1574848938341,9.56105,0,0.5587921,2,1,1.9235687
1574848940222,9.423386,0,0.8221588,2,1,1.6578064
1574848944458,9.314453,0,0.7910309,2,1,2.0325012
1574848977184,8.984039,0,0.6557617,2,1,3.8365326
1574848981342,8.841583,0,0.7108154,2,1,3.592331
1574849011070,8.538727,0,0.72398376,2,1,4.0017395
1574849015048,9.35994,0,0.35049438,2,1,4.206436
1574851227715,11.45845,0,2.4418335,13,1,-0.427536
1574851229534,9.152832,0,1.5823059,13,1,-0.66815186
1574851231853,9.581406,0,1.3895721,13,1,-0.20846558
1574851249265,9.59935,0,0.4797821,13,1,-0.24438477
1574851266577,9.930954,0,0.3026123,13,1,0.1829834
1574851273014,9.637665,0,0.5157013,13,1,0.32183838
1574851314937,10.005173,0,0.27148438,13,1,0.30389404
1574851317294,9.702301,0,0.3097992,13,1,0.56007385
1574860436129,9.643646,1,1.5835114,54,1,0.042922974
1574860439868,5.107834,1,2.799759,54,1,-1.3193817
1574860476015,18.506989,1,-4.6725464,54,1,1.572815
1574860479295,17.639084,1,-2.0329285,54,1,3.5252838
1574860513701,18.617111,1,-3.4119873,54,1,1.5165558
1574860516541,10.899414,1,-0.6011963,54,1,-0.6992798
1574861696729,9.418594,1,1.0579834,63,1,-0.3269806
1574861778203,9.814835,1,2.207199,63,1,0.47387695
1574861785381,-7.6772003,1,1.6038666,63,1,-3.5100708
1574861815791,15.847031,1,1.601471,64,1,-6.7039337
1574861837082,15.705765,1,-1.9646912,64,1,3.1254578
1574861848639,-1.5252991,1,5.373535,64,1,-1.8245544
1574861858716,5.717163,1,3.0415802,64,1,-0.86328125
1574861892203,7.0363617,1,1.8109589,64,1,-3.779419
1574852666072,9.5,0,2.8727875,22,1,0.8485718
1574852667894,8.8068695,0,1.5787201,22,1,1.3561401
1574852672231,9.367111,0,1.017273,22,1,1.6638031
1574852701417,9.485626,0,-0.42642212,22,1,1.991806
1574852713652,9.492813,0,-0.5904236,22,1,2.1031342
1574852728484,9.570618,0,-0.35939026,22,1,2.178543
1574852752894,9.386276,0,-0.64549255,22,1,2.458664
1574852757692,9.213882,0,-0.20855713,22,1,2.5735931
1574852067023,9.698837,0,-0.49873352,18,1,-0.3119049
1574852085794,9.823929,0,-0.6833191,18,1,0.16287231
1574852103985,9.816513,0,-0.4625702,18,1,0.43496704
1574852122756,9.7669525,0,-0.40823364,18,1,0.42240906
1574852141847,9.825256,0,-0.51249695,18,1,0.462265
1574851813023,9.192108,0,2.890152,16,1,-0.12754822
1574851831214,9.187195,0,2.764206,16,1,0.7680054
1574851849406,9.227905,0,2.6087036,16,1,0.3103485
1574851867597,9.540817,0,2.0385284,16,1,0.2117157
1574851886387,9.746124,0,1.5959625,16,1,0.38278198
1574848932903,9.715469,0,1.4422455,2,1,0.7288666
1574848934722,9.69632,0,0.7658844,2,1,1.062851
1574848936540,9.642456,0,0.6820984,2,1,1.517746
1574848938365,9.533508,0,0.55400085,2,1,1.991806
1574848940299,9.492813,0,0.82814026,2,1,1.675766
1574848944538,9.596954,0,0.7227936,2,1,2.2048798
1574848977206,9.116928,0,0.6545563,2,1,3.695282
1574848981542,8.963699,0,0.6533661,2,1,3.5743713
1574849011090,8.691956,0,0.65934753,2,1,4.107071
1574849015228,8.594986,0,0.48815918,2,1,3.8137817
1574851227736,11.156784,0,2.3604279,13,1,-0.32818604
